epoch,batch,batch_loss,epoch_avg_loss
1,EPOCH_END,,0.8592403614953128
2,EPOCH_END,,0.683784606995613
3,EPOCH_END,,0.563128976361838
4,EPOCH_END,,0.4800348712691366
5,EPOCH_END,,0.4236845034144835
6,EPOCH_END,,0.391407070320044
7,EPOCH_END,,0.37061108518510993
8,EPOCH_END,,0.3503738946751999
9,EPOCH_END,,0.3366976984019981
10,EPOCH_END,,0.32690784068249945
11,EPOCH_END,,0.3171998684975638
12,EPOCH_END,,0.30655934841139737
13,EPOCH_END,,0.2924569660285388
14,EPOCH_END,,0.28017969153074823
15,EPOCH_END,,0.268499267984555
16,EPOCH_END,,0.2596914296401843
17,EPOCH_END,,0.2517786236332932
18,EPOCH_END,,0.2425240858404367
19,EPOCH_END,,0.23508728745141264
20,EPOCH_END,,0.22763933289025637
21,EPOCH_END,,0.2225450258900616
22,EPOCH_END,,0.21757795593377624
23,EPOCH_END,,0.21230624145917545
24,EPOCH_END,,0.2079468139453229
25,EPOCH_END,,0.20511883513124257
26,EPOCH_END,,0.20125207746588092
27,EPOCH_END,,0.20003406328560192
28,EPOCH_END,,0.19728461463949573
29,EPOCH_END,,0.1961940905686889
30,EPOCH_END,,0.19460677004445082
31,EPOCH_END,,0.1926585399329281
32,EPOCH_END,,0.19288291005310473
33,EPOCH_END,,0.19173290753669575
34,EPOCH_END,,0.1915451476632405
35,EPOCH_END,,0.19077799534365567
36,EPOCH_END,,0.18992689849217054
37,EPOCH_END,,0.19106612524498245
38,EPOCH_END,,0.19051089031355722
39,EPOCH_END,,0.19097363507188458
40,EPOCH_END,,0.18872065276606506
41,EPOCH_END,,0.18935617829945042
42,EPOCH_END,,0.1886411913549468
43,EPOCH_END,,0.18905496241441413
44,EPOCH_END,,0.18908489176205226
45,EPOCH_END,,0.18832700558181512
46,EPOCH_END,,0.18836183658540884
47,EPOCH_END,,0.1885075589804761
48,EPOCH_END,,0.18854535976325526
49,EPOCH_END,,0.18898929642843032
50,EPOCH_END,,0.18820080002233672
