epoch,batch,batch_loss,epoch_avg_loss
1,EPOCH_END,,0.8735257474852524
2,EPOCH_END,,0.7030661313264355
3,EPOCH_END,,0.5850085032774187
4,EPOCH_END,,0.4973572775372056
5,EPOCH_END,,0.43710355368504394
6,EPOCH_END,,0.39371192048607606
7,EPOCH_END,,0.3619451805599717
8,EPOCH_END,,0.3461898946558743
9,EPOCH_END,,0.33456255574978744
10,EPOCH_END,,0.3246807335917629
11,EPOCH_END,,0.31336913186349846
12,EPOCH_END,,0.30147922693539275
13,EPOCH_END,,0.2912145891169241
14,EPOCH_END,,0.28103123951568276
15,EPOCH_END,,0.2694768986341033
16,EPOCH_END,,0.25702435413657476
17,EPOCH_END,,0.24979337970458115
18,EPOCH_END,,0.24188693690655835
19,EPOCH_END,,0.23537513940954513
20,EPOCH_END,,0.22853988008712656
21,EPOCH_END,,0.2227657072897405
22,EPOCH_END,,0.2183817557688715
23,EPOCH_END,,0.21297277411672352
24,EPOCH_END,,0.210651435577539
25,EPOCH_END,,0.20719366315712553
26,EPOCH_END,,0.20411718095035186
27,EPOCH_END,,0.20303616013481166
28,EPOCH_END,,0.20171334882026543
29,EPOCH_END,,0.20014148585196498
30,EPOCH_END,,0.19923535040192514
31,EPOCH_END,,0.19855352918476438
32,EPOCH_END,,0.19873079403377036
33,EPOCH_END,,0.1980161302125276
34,EPOCH_END,,0.19664321623758466
35,EPOCH_END,,0.19636523173943257
36,EPOCH_END,,0.19612056757214227
37,EPOCH_END,,0.1963804111933149
38,EPOCH_END,,0.19589996090067474
39,EPOCH_END,,0.1961620382980497
40,EPOCH_END,,0.1952331945903774
41,EPOCH_END,,0.19565088691106483
42,EPOCH_END,,0.19560773400609682
43,EPOCH_END,,0.19568701361669405
44,EPOCH_END,,0.1956493855475871
45,EPOCH_END,,0.1950561239648221
46,EPOCH_END,,0.19481144407029344
47,EPOCH_END,,0.19519509835792248
48,EPOCH_END,,0.19496644868144095
49,EPOCH_END,,0.1950930873595321
50,EPOCH_END,,0.19485171387063416
