epoch,batch,global_batch,batch_loss,epoch_avg_loss
1,EPOCH_END,469,,0.15772072027232856
2,EPOCH_END,938,,0.03857448588667521
3,EPOCH_END,1407,,0.027696869437342515
4,EPOCH_END,1876,,0.02329350933869447
5,EPOCH_END,2345,,0.020836250403764914
6,EPOCH_END,2814,,0.01901396196772422
7,EPOCH_END,3283,,0.01787115194038478
8,EPOCH_END,3752,,0.01689175683369578
9,EPOCH_END,4221,,0.016537622079999842
10,EPOCH_END,4690,,0.015529559605490805
11,EPOCH_END,5159,,0.015520129513654755
12,EPOCH_END,5628,,0.014753583701514104
13,EPOCH_END,6097,,0.014524866221174756
14,EPOCH_END,6566,,0.014065985935233803
15,EPOCH_END,7035,,0.013732285351990892
16,EPOCH_END,7504,,0.013390704807736027
17,EPOCH_END,7973,,0.013227447096917675
18,EPOCH_END,8442,,0.012981543995575037
19,EPOCH_END,8911,,0.01281041730203227
20,EPOCH_END,9380,,0.012673553619494063
21,EPOCH_END,9849,,0.012475391065499294
22,EPOCH_END,10318,,0.012411545346508911
23,EPOCH_END,10787,,0.012431889157821693
24,EPOCH_END,11256,,0.012375226113270087
25,EPOCH_END,11725,,0.012070527503779257
26,EPOCH_END,12194,,0.011939443484036081
27,EPOCH_END,12663,,0.012004316933373652
28,EPOCH_END,13132,,0.011753168701728397
29,EPOCH_END,13601,,0.011718853879203675
30,EPOCH_END,14070,,0.01177061134294025
31,EPOCH_END,14539,,0.011556678625351903
32,EPOCH_END,15008,,0.011566740877703945
33,EPOCH_END,15477,,0.011623732116160744
34,EPOCH_END,15946,,0.01140036179956152
35,EPOCH_END,16415,,0.01140840684494643
36,EPOCH_END,16884,,0.011389087427899972
37,EPOCH_END,17353,,0.011389956511715963
38,EPOCH_END,17822,,0.011090533522916819
39,EPOCH_END,18291,,0.011206663408274972
40,EPOCH_END,18760,,0.011216640950980853
41,EPOCH_END,19229,,0.011159988299909749
42,EPOCH_END,19698,,0.011096021054245071
43,EPOCH_END,20167,,0.010983151158313952
44,EPOCH_END,20636,,0.010919370789771904
45,EPOCH_END,21105,,0.011051184869111219
46,EPOCH_END,21574,,0.010840638325229954
47,EPOCH_END,22043,,0.010930908797209515
48,EPOCH_END,22512,,0.010868081250098914
49,EPOCH_END,22981,,0.010938768740743399
50,EPOCH_END,23450,,0.010774609463007402
